# Hyperlimit Slow Performer History

Generated by `cargo bench --bench retained_fuzz`. Timings are best-of-five wall-clock probes of deterministic inputs shaped by the registered cargo-fuzz targets.

Latest run sampled 20000 deterministic fuzz cases. This table merges crate-local history by `family + target + input`, keeps each case's worst observed time, and retains the 1000 worst cases.

## Worst Performers

| Rank | Worst Time | Family | Target | Input |
| 71 | 36.097 us | `cargo-fuzz` | `predicate_invariants` | `seed[831]` |
| 72 | 36.097 us | `cargo-fuzz` | `predicate_invariants` | `seed[1612]` |
| 73 | 36.087 us | `cargo-fuzz` | `predicate_invariants` | `seed[1184]` |
| 74 | 36.087 us | `cargo-fuzz` | `predicate_invariants` | `seed[1196]` |
| 75 | 36.058 us | `cargo-fuzz` | `predicate_invariants` | `seed[1369]` |
| 76 | 36.047 us | `cargo-fuzz` | `predicate_invariants` | `seed[1402]` |
| 77 | 36.038 us | `cargo-fuzz` | `predicate_invariants` | `seed[1993]` |
| 78 | 36.028 us | `cargo-fuzz` | `predicate_invariants` | `seed[1437]` |
| 79 | 36.028 us | `cargo-fuzz` | `predicate_invariants` | `seed[1750]` |
| 80 | 36.008 us | `cargo-fuzz` | `predicate_invariants` | `seed[1008]` |
| 81 | 35.988 us | `cargo-fuzz` | `predicate_invariants` | `seed[799]` |
| 82 | 35.988 us | `cargo-fuzz` | `predicate_invariants` | `seed[9729]` |
| 83 | 35.957 us | `cargo-fuzz` | `predicate_invariants` | `seed[1575]` |
| 84 | 35.947 us | `cargo-fuzz` | `predicate_invariants` | `seed[820]` |
| 85 | 35.938 us | `cargo-fuzz` | `predicate_invariants` | `seed[1117]` |
| 86 | 35.937 us | `cargo-fuzz` | `predicate_invariants` | `seed[896]` |
| 87 | 35.937 us | `cargo-fuzz` | `predicate_invariants` | `seed[1557]` |
| 88 | 35.928 us | `cargo-fuzz` | `predicate_invariants` | `seed[2292]` |
| 89 | 35.927 us | `cargo-fuzz` | `predicate_invariants` | `seed[1738]` |
| 90 | 35.927 us | `cargo-fuzz` | `predicate_invariants` | `seed[9763]` |
| 91 | 35.918 us | `cargo-fuzz` | `predicate_invariants` | `seed[2046]` |
| 92 | 35.908 us | `cargo-fuzz` | `predicate_invariants` | `seed[2240]` |
| 93 | 35.897 us | `cargo-fuzz` | `predicate_invariants` | `seed[719]` |
| 94 | 35.887 us | `cargo-fuzz` | `predicate_invariants` | `seed[842]` |
| 95 | 35.877 us | `cargo-fuzz` | `predicate_invariants` | `seed[1498]` |
| 96 | 35.868 us | `cargo-fuzz` | `predicate_invariants` | `seed[1576]` |
| 97 | 35.867 us | `cargo-fuzz` | `predicate_invariants` | `seed[1586]` |
| 98 | 35.858 us | `cargo-fuzz` | `predicate_invariants` | `seed[2054]` |
| 99 | 35.798 us | `cargo-fuzz` | `predicate_invariants` | `seed[909]` |
| 100 | 35.777 us | `cargo-fuzz` | `predicate_invariants` | `seed[1539]` |
| 101 | 35.757 us | `cargo-fuzz` | `predicate_invariants` | `seed[1401]` |
| 102 | 35.748 us | `cargo-fuzz` | `predicate_invariants` | `seed[815]` |
| 103 | 35.737 us | `cargo-fuzz` | `predicate_invariants` | `seed[1701]` |
| 104 | 35.717 us | `cargo-fuzz` | `predicate_invariants` | `seed[2290]` |
| 105 | 35.708 us | `cargo-fuzz` | `predicate_invariants` | `seed[1914]` |
| 106 | 35.707 us | `cargo-fuzz` | `predicate_invariants` | `seed[720]` |
| 107 | 35.707 us | `cargo-fuzz` | `predicate_invariants` | `seed[755]` |
| 108 | 35.688 us | `cargo-fuzz` | `predicate_invariants` | `seed[926]` |
| 109 | 35.687 us | `cargo-fuzz` | `predicate_invariants` | `seed[2030]` |
| 110 | 35.678 us | `cargo-fuzz` | `predicate_invariants` | `seed[757]` |
| 111 | 35.677 us | `cargo-fuzz` | `predicate_invariants` | `seed[1392]` |
| 112 | 35.667 us | `cargo-fuzz` | `predicate_invariants` | `seed[2351]` |
| 113 | 35.658 us | `cargo-fuzz` | `predicate_invariants` | `seed[952]` |
| 114 | 35.657 us | `cargo-fuzz` | `predicate_invariants` | `seed[944]` |
| 115 | 35.648 us | `cargo-fuzz` | `predicate_invariants` | `seed[983]` |
| 116 | 35.628 us | `cargo-fuzz` | `predicate_invariants` | `seed[2157]` |
| 117 | 35.627 us | `cargo-fuzz` | `predicate_invariants` | `seed[960]` |
| 118 | 35.618 us | `cargo-fuzz` | `predicate_invariants` | `seed[974]` |
| 119 | 35.617 us | `cargo-fuzz` | `predicate_invariants` | `seed[1665]` |
| 120 | 35.608 us | `cargo-fuzz` | `predicate_invariants` | `seed[8929]` |
| 121 | 35.607 us | `cargo-fuzz` | `predicate_invariants` | `seed[1410]` |
| 122 | 35.598 us | `cargo-fuzz` | `predicate_invariants` | `seed[832]` |
| 123 | 35.588 us | `cargo-fuzz` | `predicate_invariants` | `seed[1982]` |
| 124 | 35.588 us | `cargo-fuzz` | `predicate_invariants` | `seed[5890]` |
| 125 | 35.577 us | `cargo-fuzz` | `predicate_invariants` | `seed[1574]` |
| 126 | 35.568 us | `cargo-fuzz` | `predicate_invariants` | `seed[908]` |
| 127 | 35.568 us | `cargo-fuzz` | `predicate_invariants` | `seed[959]` |
| 128 | 35.538 us | `cargo-fuzz` | `predicate_invariants` | `seed[1173]` |
| 129 | 35.538 us | `cargo-fuzz` | `predicate_invariants` | `seed[1922]` |
| 130 | 35.528 us | `cargo-fuzz` | `predicate_invariants` | `seed[1647]` |
| 131 | 35.527 us | `cargo-fuzz` | `predicate_invariants` | `seed[1484]` |
| 132 | 35.518 us | `cargo-fuzz` | `predicate_invariants` | `seed[1004]` |
| 133 | 35.518 us | `cargo-fuzz` | `predicate_invariants` | `seed[1169]` |
| 134 | 35.508 us | `cargo-fuzz` | `predicate_invariants` | `seed[884]` |
| 135 | 35.508 us | `cargo-fuzz` | `predicate_invariants` | `seed[2056]` |
| 136 | 35.507 us | `cargo-fuzz` | `predicate_invariants` | `seed[1032]` |
| 137 | 35.487 us | `cargo-fuzz` | `predicate_invariants` | `seed[619]` |
| 138 | 35.478 us | `cargo-fuzz` | `predicate_invariants` | `seed[1646]` |
| 139 | 35.477 us | `cargo-fuzz` | `predicate_invariants` | `seed[1986]` |
| 140 | 35.467 us | `cargo-fuzz` | `predicate_invariants` | `seed[2104]` |
| 141 | 35.437 us | `cargo-fuzz` | `predicate_invariants` | `seed[9977]` |
| 142 | 35.428 us | `cargo-fuzz` | `predicate_invariants` | `seed[1011]` |
| 143 | 35.428 us | `cargo-fuzz` | `predicate_invariants` | `seed[1024]` |
| 144 | 35.407 us | `cargo-fuzz` | `predicate_invariants` | `seed[3036]` |
| 145 | 35.398 us | `cargo-fuzz` | `predicate_invariants` | `seed[830]` |
| 146 | 35.388 us | `cargo-fuzz` | `predicate_invariants` | `seed[738]` |
| 147 | 35.377 us | `cargo-fuzz` | `predicate_invariants` | `seed[948]` |
| 148 | 35.377 us | `cargo-fuzz` | `predicate_invariants` | `seed[2329]` |
| 149 | 35.368 us | `cargo-fuzz` | `predicate_invariants` | `seed[1611]` |
| 150 | 35.368 us | `cargo-fuzz` | `predicate_invariants` | `seed[1706]` |
| 151 | 35.367 us | `cargo-fuzz` | `predicate_invariants` | `seed[1368]` |
| 152 | 35.367 us | `cargo-fuzz` | `predicate_invariants` | `seed[1987]` |
| 153 | 35.358 us | `cargo-fuzz` | `predicate_invariants` | `seed[1662]` |
| 154 | 35.347 us | `cargo-fuzz` | `predicate_invariants` | `seed[979]` |
| 155 | 35.328 us | `cargo-fuzz` | `predicate_invariants` | `seed[2202]` |
| 156 | 35.288 us | `cargo-fuzz` | `predicate_invariants` | `seed[736]` |
| 157 | 35.288 us | `cargo-fuzz` | `predicate_invariants` | `seed[2119]` |
| 158 | 35.288 us | `cargo-fuzz` | `predicate_invariants` | `seed[5355]` |
| 159 | 35.278 us | `cargo-fuzz` | `predicate_invariants` | `seed[1705]` |
| 160 | 35.278 us | `cargo-fuzz` | `predicate_invariants` | `seed[6444]` |
| 161 | 35.258 us | `cargo-fuzz` | `predicate_invariants` | `seed[1520]` |
| 162 | 35.257 us | `cargo-fuzz` | `predicate_invariants` | `seed[2075]` |
| 163 | 35.238 us | `cargo-fuzz` | `predicate_invariants` | `seed[185]` |
| 164 | 35.238 us | `cargo-fuzz` | `predicate_invariants` | `seed[1007]` |
| 165 | 35.238 us | `cargo-fuzz` | `predicate_invariants` | `seed[1231]` |
| 166 | 35.218 us | `cargo-fuzz` | `predicate_invariants` | `seed[1499]` |
| 167 | 35.217 us | `cargo-fuzz` | `predicate_invariants` | `seed[9039]` |
| 168 | 35.208 us | `cargo-fuzz` | `predicate_invariants` | `seed[1592]` |
| 169 | 35.207 us | `cargo-fuzz` | `predicate_invariants` | `seed[742]` |
| 170 | 35.188 us | `cargo-fuzz` | `predicate_invariants` | `seed[885]` |
| 171 | 35.188 us | `cargo-fuzz` | `predicate_invariants` | `seed[1475]` |
| 172 | 35.178 us | `cargo-fuzz` | `predicate_invariants` | `seed[6443]` |
| 173 | 35.157 us | `cargo-fuzz` | `predicate_invariants` | `seed[2024]` |
| 174 | 35.148 us | `cargo-fuzz` | `predicate_invariants` | `seed[735]` |
| 175 | 35.138 us | `cargo-fuzz` | `predicate_invariants` | `seed[1648]` |
| 176 | 35.137 us | `cargo-fuzz` | `predicate_invariants` | `seed[2382]` |
| 177 | 35.128 us | `cargo-fuzz` | `predicate_invariants` | `seed[1524]` |
| 178 | 35.127 us | `cargo-fuzz` | `predicate_invariants` | `seed[2031]` |
| 179 | 35.118 us | `cargo-fuzz` | `predicate_invariants` | `seed[1033]` |
| 180 | 35.098 us | `cargo-fuzz` | `predicate_invariants` | `seed[1164]` |
| 181 | 35.098 us | `cargo-fuzz` | `predicate_invariants` | `seed[1638]` |
| 182 | 35.098 us | `cargo-fuzz` | `predicate_invariants` | `seed[2260]` |
| 183 | 35.097 us | `cargo-fuzz` | `predicate_invariants` | `seed[1419]` |
| 184 | 35.097 us | `cargo-fuzz` | `predicate_invariants` | `seed[1607]` |
| 185 | 35.097 us | `cargo-fuzz` | `predicate_invariants` | `seed[6129]` |
| 186 | 35.088 us | `cargo-fuzz` | `predicate_invariants` | `seed[1628]` |
| 187 | 35.088 us | `cargo-fuzz` | `predicate_invariants` | `seed[2013]` |
| 188 | 35.078 us | `cargo-fuzz` | `predicate_invariants` | `seed[2035]` |
| 189 | 35.077 us | `cargo-fuzz` | `predicate_invariants` | `seed[1405]` |
| 190 | 35.057 us | `cargo-fuzz` | `predicate_invariants` | `seed[1542]` |
| 191 | 35.057 us | `cargo-fuzz` | `predicate_invariants` | `seed[1548]` |
| 192 | 35.047 us | `cargo-fuzz` | `predicate_invariants` | `seed[1949]` |
| 193 | 35.038 us | `cargo-fuzz` | `predicate_invariants` | `seed[1938]` |
| 194 | 35.037 us | `cargo-fuzz` | `predicate_invariants` | `seed[1430]` |
| 195 | 35.037 us | `cargo-fuzz` | `predicate_invariants` | `seed[2022]` |
| 196 | 35.028 us | `cargo-fuzz` | `predicate_invariants` | `seed[1422]` |
| 197 | 35.018 us | `cargo-fuzz` | `predicate_invariants` | `seed[1474]` |
| 198 | 35.018 us | `cargo-fuzz` | `predicate_invariants` | `seed[1945]` |
| 199 | 35.018 us | `cargo-fuzz` | `predicate_invariants` | `seed[2363]` |
| 200 | 35.008 us | `cargo-fuzz` | `predicate_invariants` | `seed[2023]` |
| 201 | 35.008 us | `cargo-fuzz` | `predicate_invariants` | `seed[2115]` |
| 202 | 35.007 us | `cargo-fuzz` | `predicate_invariants` | `seed[1031]` |
| 203 | 34.998 us | `cargo-fuzz` | `predicate_invariants` | `seed[617]` |
| 204 | 34.998 us | `cargo-fuzz` | `predicate_invariants` | `seed[914]` |
| 205 | 34.997 us | `cargo-fuzz` | `predicate_invariants` | `seed[938]` |
| 206 | 34.988 us | `cargo-fuzz` | `predicate_invariants` | `seed[782]` |
| 207 | 34.988 us | `cargo-fuzz` | `predicate_invariants` | `seed[1984]` |
| 208 | 34.988 us | `cargo-fuzz` | `predicate_invariants` | `seed[2015]` |
| 209 | 34.977 us | `cargo-fuzz` | `predicate_invariants` | `seed[1664]` |
| 210 | 34.957 us | `cargo-fuzz` | `predicate_invariants` | `seed[993]` |
| 211 | 34.948 us | `cargo-fuzz` | `predicate_invariants` | `seed[848]` |
| 212 | 34.937 us | `cargo-fuzz` | `predicate_invariants` | `seed[1016]` |
| 213 | 34.927 us | `cargo-fuzz` | `predicate_invariants` | `seed[1704]` |
| 214 | 34.898 us | `cargo-fuzz` | `predicate_invariants` | `seed[1642]` |
| 215 | 34.898 us | `cargo-fuzz` | `predicate_invariants` | `seed[1951]` |
| 216 | 34.897 us | `cargo-fuzz` | `predicate_invariants` | `seed[1643]` |
| 217 | 34.888 us | `cargo-fuzz` | `predicate_invariants` | `seed[1518]` |
| 218 | 34.887 us | `cargo-fuzz` | `predicate_invariants` | `seed[1925]` |
| 219 | 34.878 us | `cargo-fuzz` | `predicate_invariants` | `seed[925]` |
| 220 | 34.877 us | `cargo-fuzz` | `predicate_invariants` | `seed[1636]` |
| 221 | 34.868 us | `cargo-fuzz` | `predicate_invariants` | `seed[911]` |
| 222 | 34.868 us | `cargo-fuzz` | `predicate_invariants` | `seed[1564]` |
| 223 | 34.868 us | `cargo-fuzz` | `predicate_invariants` | `seed[5948]` |
| 224 | 34.867 us | `cargo-fuzz` | `predicate_invariants` | `seed[1996]` |
| 225 | 34.858 us | `cargo-fuzz` | `predicate_invariants` | `seed[2207]` |
| 226 | 34.857 us | `cargo-fuzz` | `predicate_invariants` | `seed[1563]` |
| 227 | 34.857 us | `cargo-fuzz` | `predicate_invariants` | `seed[1913]` |
| 228 | 34.848 us | `cargo-fuzz` | `predicate_invariants` | `seed[1157]` |
| 229 | 34.847 us | `cargo-fuzz` | `predicate_invariants` | `seed[1989]` |
| 230 | 34.838 us | `cargo-fuzz` | `predicate_invariants` | `seed[1960]` |
| 231 | 34.837 us | `cargo-fuzz` | `predicate_invariants` | `seed[1920]` |
| 232 | 34.837 us | `cargo-fuzz` | `predicate_invariants` | `seed[2078]` |
| 233 | 34.828 us | `cargo-fuzz` | `predicate_invariants` | `seed[1030]` |
| 234 | 34.828 us | `cargo-fuzz` | `predicate_invariants` | `seed[1686]` |
| 235 | 34.817 us | `cargo-fuzz` | `predicate_invariants` | `seed[177]` |
| 236 | 34.817 us | `cargo-fuzz` | `predicate_invariants` | `seed[1408]` |
| 237 | 34.808 us | `cargo-fuzz` | `predicate_invariants` | `seed[1163]` |
| 238 | 34.807 us | `cargo-fuzz` | `predicate_invariants` | `seed[2284]` |
| 239 | 34.798 us | `cargo-fuzz` | `predicate_invariants` | `seed[924]` |
| 240 | 34.788 us | `cargo-fuzz` | `predicate_invariants` | `seed[741]` |
| 241 | 34.787 us | `cargo-fuzz` | `predicate_invariants` | `seed[1370]` |
| 242 | 34.777 us | `cargo-fuzz` | `predicate_invariants` | `seed[1481]` |
